sample_index,node_address,timestamp_sec,x,y,z,magnitude_xy,magnitude_xyz,base_rssi,node_rssi
63,56384,2.01704,-0.0181984,-0.0104327,0,0.0209767,0.0209767,-44,-44
64,56384,2.02395,-0.0170179,-0.0103702,0,0.0199286,0.0199286,-45,-45
65,56384,2.03138,-0.0184502,-0.01587,0,0.0243366,0.0243366,-44,-45
66,56384,2.04746,-0.0207955,-0.0124482,0,0.0242366,0.0242366,-44,-45
67,56384,2.05484,-0.018466,-0.0110889,0,0.0215396,0.0215396,-45,-45
68,56384,2.06304,-0.0149559,-0.0133232,0,0.0200297,0.0200297,-44,-45
69,56384,2.07119,-0.0164985,-0.0174169,0,0.0239905,0.0239905,-45,-45
70,56384,2.07724,-0.0163568,-0.0127607,0,0.0207456,0.0207456,-44,-45
71,56384,2.08512,-0.0140115,-0.00926082,0,0.0167954,0.0167954,-45,-45
72,56384,2.093,-0.0148615,-0.00960456,0,0.0176949,0.0176949,-45,-45
73,56384,2.10123,-0.0159161,-0.0104952,0,0.0190649,0.0190649,-45,-45
74,56384,2.10952,-0.0151291,-0.0142607,0,0.0207908,0.0207908,-45,-45
75,56384,2.11734,-0.0145939,-0.00922957,0,0.0172675,0.0172675,-45,-45
76,56384,2.12515,-0.0102181,-0.00754211,0,0.0127001,0.0127001,-45,-46
77,56384,2.13272,-0.0131773,-0.00860459,0,0.0157378,0.0157378,-45,-45
78,56384,2.14058,-0.0153652,-0.0128388,0,0.0200231,0.0200231,-45,-45
79,56384,2.14843,-0.0159161,-0.0130107,0,0.0205572,0.0205572,-45,-46
80,56384,2.15638,-0.0136023,-0.00958893,0,0.0166424,0.0166424,-45,-46
81,56384,2.16411,-0.0146096,-0.00794835,0,0.0166318,0.0166318,-46,-46
82,56384,2.17195,-0.0172068,-0.0124951,0,0.021265,0.021265,-46,-46
83,56384,2.18028,-0.0162151,-0.01487,0,0.0220011,0.0220011,-45,-46
84,56384,2.18802,-0.0127838,-0.0128076,0,0.0180958,0.0180958,-45,-46
85,56384,2.19507,-0.0121699,-0.0104014,0,0.0160092,0.0160092,-46,-46
86,56384,2.20358,-0.0176317,-0.00958893,0,0.0200705,0.0200705,-45,-46
87,56384,2.21007,-0.0203391,-0.0129638,0,0.0241193,0.0241193,-45,-46
88,56384,2.21791,-0.0186549,-0.0137607,0,0.023181,0.023181,-45,-46
89,56384,2.22596,-0.0157272,-0.0107608,0,0.0190562,0.0190562,-45,-46
90,56384,2.23436,-0.0137911,-0.011667,0,0.0180642,0.0180642,-45,-45
91,56384,2.24274,-0.0173799,-0.0107295,0,0.0204251,0.0204251,-45,-45
92,56384,2.25037,-0.0182614,-0.0105108,0,0.0210702,0.0210702,-45,-46
93,56384,2.25821,-0.0166716,-0.0119639,0,0.0205201,0.0205201,-45,-45
94,56384,2.26575,-0.015979,-0.00908895,0,0.0183831,0.0183831,-45,-45
95,56384,2.27356,-0.0163883,-0.00969831,0,0.0190429,0.0190429,-45,-46
96,56384,2.28139,-0.0183086,-0.0089327,0,0.0203715,0.0203715,-45,-46
97,56384,2.28924,-0.0165457,-0.010417,0,0.0195518,0.0195518,-44,-45
98,56384,2.29662,-0.0149087,-0.0107295,0,0.0183682,0.0183682,-45,-46
99,56384,2.30456,-0.0151291,-0.0104014,0,0.0183597,0.0183597,-45,-46
100,56384,2.31255,-0.0173642,-0.0098858,0,0.0199811,0.0199811,-45,-45
101,56384,2.31964,-0.0157744,-0.0123701,0,0.0200462,0.0200462,-45,-45
102,56384,2.32764,-0.0153022,-0.0119795,0,0.0194336,0.0194336,-45,-46
103,56384,2.33547,-0.0144837,-0.0112295,0,0.018327,0.018327,-45,-45
104,56384,2.34341,-0.0160262,-0.0124795,0,0.020312,0.020312,-45,-45
105,56384,2.35142,-0.0173642,-0.011792,0,0.0209897,0.0209897,-45,-46
106,56384,2.35928,-0.0157114,-0.0137607,0,0.0208856,0.0208856,-44,-45
107,56384,2.36773,-0.0158374,-0.0118857,0,0.0198013,0.0198013,-45,-45
108,56384,2.37584,-0.0167975,-0.010042,0,0.0195704,0.0195704,-45,-45
109,56384,2.38357,-0.0159003,-0.0119014,0,0.0198611,0.0198611,-44,-46
110,56384,2.39092,-0.0173012,-0.0116358,0,0.02085,0.02085,-45,-45
111,56384,2.39884,-0.015192,-0.0136826,0,0.0204453,0.0204453,-45,-45
112,56384,2.40685,-0.016404,-0.0111045,0,0.0198091,0.0198091,-44,-45
113,56384,2.42217,-0.0162938,-0.0101827,0,0.0192139,0.0192139,-45,-45
114,56384,2.42979,-0.0161994,-0.0101514,0,0.0191173,0.0191173,-45,-45
115,56384,2.43754,-0.0157587,-0.010542,0,0.0189597,0.0189597,-45,-45
116,56384,2.44539,-0.0143106,-0.00946394,0,0.0171569,0.0171569,-44,-45
117,56384,2.4526,-0.0151291,-0.00888583,0,0.0175455,0.0175455,-45,-45
118,56384,2.4606,-0.0156013,-0.00815147,0,0.0176024,0.0176024,-45,-44
119,56384,2.46849,-0.0147513,-0.0115264,0,0.0187205,0.0187205,-45,-44
120,56384,2.47642,-0.0160735,-0.0104952,0,0.0191965,0.0191965,-44,-45
121,56384,2.48424,-0.0144994,-0.00932332,0,0.0172383,0.0172383,-44,-45
122,56384,2.49163,-0.0158846,-0.00933894,0,0.0184265,0.0184265,-44,-45
123,56384,2.49939,-0.0148615,-0.0114639,0,0.0187692,0.0187692,-44,-45
124,56384,2.50745,-0.0149874,-0.0130732,0,0.019888,0.019888,-44,-45
125,56384,2.51538,-0.0169549,-0.0111358,0,0.0202848,0.0202848,-44,-45
126,56384,2.52336,-0.016766,-0.0111358,0,0.0201272,0.0201272,-45,-45
127,56384,2.53075,-0.0172225,-0.0122607,0,0.021141,0.021141,-44,-45
128,56384,2.53859,-0.0172225,-0.0135576,0,0.0219185,0.0219185,-44,-45
129,56384,2.54677,-0.0175373,-0.0128232,0,0.0217254,0.0217254,-45,-45
130,56384,2.55471,-0.0179308,-0.0113233,0,0.0212068,0.0212068,-45,-45
131,56384,2.56309,-0.0178993,-0.0118232,0,0.0214517,0.0214517,-44,-45
132,56384,2.5711,-0.0184817,-0.0135263,0,0.0229027,0.0229027,-44,-44
133,56384,2.57825,-0.017553,-0.0140107,0,0.022459,0.022459,-45,-45
134,56384,2.58592,-0.0174586,-0.0122139,0,0.0213068,0.0213068,-44,-44
135,56384,2.59293,-0.0164827,-0.011292,0,0.0199797,0.0199797,-44,-44
136,56384,2.60077,-0.0167031,-0.0104014,0,0.0196769,0.0196769,-44,-45
137,56384,2.60878,-0.0175688,-0.00908895,0,0.0197806,0.0197806,-44,-44
138,56384,2.61669,-0.0173327,-0.0127607,0,0.0215234,0.0215234,-44,-44
139,56384,2.62485,-0.0157114,-0.0103858,0,0.0188339,0.0188339,-44,-45
140,56384,2.63278,-0.0159948,-0.0117608,0,0.0198532,0.0198532,-44,-45
141,56384,2.64062,-0.0169392,-0.00924519,0,0.0192979,0.0192979,-44,-44
142,56384,2.6487,-0.0164985,-0.0120107,0,0.0204073,0.0204073,-44,-44
143,56384,2.65591,-0.0155383,-0.0126826,0,0.0200571,0.0200571,-44,-45
144,56384,2.66319,-0.0154911,-0.0104952,0,0.0187115,0.0187115,-44,-44
145,56384,2.67114,-0.0168605,-0.00971393,0,0.0194586,0.0194586,-44,-44
146,56384,2.67907,-0.0147985,-0.0107452,0,0.0182881,0.0182881,-44,-45
147,56384,2.68711,-0.0153494,-0.0141513,0,0.0208774,0.0208774,-44,-44
148,56384,2.69492,-0.0166244,-0.0105264,0,0.0196768,0.0196768,-44,-44
149,56384,2.70284,-0.0156642,-0.0104795,0,0.0188464,0.0188464,-44,-45
150,56384,2.71081,-0.0159003,-0.0106358,0,0.0191296,0.0191296,-44,-44
151,56384,2.71874,-0.0161994,-0.0120889,0,0.0202129,0.0202129,-44,-44
152,56384,2.73511,-0.0158846,-0.0120107,0,0.0199143,0.0199143,-44,-45
153,56384,2.74126,-0.0163411,-0.011042,0,0.019722,0.019722,-44,-44
154,56384,2.74905,-0.0162151,-0.010792,0,0.0194781,0.0194781,-44,-44
155,56384,2.75724,-0.017616,-0.0113389,0,0.0209498,0.0209498,-44,-45
156,56384,2.76554,-0.0171123,-0.0137763,0,0.0219686,0.0219686,-44,-44
157,56384,2.77369,-0.0168762,-0.0113701,0,0.0203491,0.0203491,-44,-44
158,56384,2.78237,-0.0159948,-0.0112608,0,0.0195611,0.0195611,-45,-45
159,56384,2.7897,-0.0163568,-0.0108702,0,0.0196394,0.0196394,-44,-44
160,56384,2.79698,-0.0167188,-0.0121826,0,0.0206866,0.0206866,-44,-44
161,56384,2.80474,-0.0162466,-0.011167,0,0.0197143,0.0197143,-44,-45
162,56384,2.81274,-0.0161364,-0.0102764,0,0.0191308,0.0191308,-44,-45
163,56384,2.82034,-0.0166401,-0.0090577,0,0.0189456,0.0189456,-44,-44
164,56384,2.83627,-0.015554,-0.011792,0,0.0195187,0.0195187,-44,-45
165,56384,2.85165,-0.016766,-0.00960456,0,0.0193222,0.0193222,-44,-44
166,56384,2.85988,-0.0170808,-0.0102764,0,0.0199339,0.0199339,-44,-45
167,56384,2.8666,-0.015979,-0.0129951,0,0.0205962,0.0205962,-44,-44
168,56384,2.8742,-0.0169077,-0.0123545,0,0.0209405,0.0209405,-44,-44
169,56384,2.88194,-0.016766,-0.00951081,0,0.0192758,0.0192758,-44,-44
170,56384,2.89006,-0.0162781,-0.0124795,0,0.0205113,0.0205113,-44,-44
171,56384,2.898,-0.017978,-0.013292,0,0.0223581,0.0223581,-44,-44
172,56384,2.90597,-0.0173012,-0.0128232,0,0.0215352,0.0215352,-44,-45
173,56384,2.91393,-0.0177577,-0.0139169,0,0.0225614,0.0225614,-44,-45
174,56384,2.92181,-0.0175373,-0.0108077,0,0.0206001,0.0206001,-44,-44
175,56384,2.93035,-0.0178364,-0.0121045,0,0.0215559,0.0215559,-44,-45
176,56384,2.93809,-0.0175688,-0.0114639,0,0.0209782,0.0209782,-44,-45
177,56384,2.94544,-0.0183873,-0.0125732,0,0.0222751,0.0222751,-44,-44
178,56384,2.9527,-0.0172225,-0.0114483,0,0.0206804,0.0206804,-44,-44
179,56384,2.96088,-0.0171753,-0.0100889,0,0.0199193,0.0199193,-44,-45
180,56384,2.96847,-0.0169077,-0.00927644,0,0.0192853,0.0192853,-44,-44
181,56384,2.97628,-0.0163411,-0.0132295,0,0.021025,0.021025,-44,-44
182,56384,2.98427,-0.0170179,-0.0109639,0,0.0202439,0.0202439,-44,-44
183,56384,3.00005,-0.0149559,-0.00972955,0,0.0178422,0.0178422,-44,-44
184,56384,3.00889,-0.0157901,-0.00979205,0,0.0185799,0.0185799,-44,-45
185,56384,3.0165,-0.0155698,-0.0103077,0,0.0186726,0.0186726,-44,-44
186,56384,3.02319,-0.0167346,-0.0110264,0,0.0200406,0.0200406,-44,-44
187,56384,3.03056,-0.0158846,-0.010667,0,0.0191339,0.0191339,-44,-45
188,56384,3.03844,-0.0156485,-0.0111201,0,0.0191972,0.0191972,-44,-45
189,56384,3.04603,-0.0162151,-0.0126982,0,0.0205955,0.0205955,-44,-44
190,56384,3.05394,-0.0148457,-0.012917,0,0.0196785,0.0196785,-44,-45
191,56384,3.0619,-0.0164512,-0.010917,0,0.019744,0.019744,-44,-45
